ID_Firebase;institution;secteur
sJ0z0k4idEg6PMCnMrjW3lho9cs1;Hôpital du Valais (HVS) - site de Sion;Neuro - péd
Jg1Ejqc46rbcTHBwOMRYZZRwbTE2;Hôpital du Valais (HVS) - site de Martigny ;Ortho
RY3eRRvuMhcM10siGR3QdhIHBI42;Hôpital du Valais (HVS) - site de Martigny ;Ortho
H4RtKMKXpYhJkTOTOOm62ANGNAo2;Leukerbad Clinic;Ortho
6Kza76qZHxOb8TlrP068rdr93br1;Hôpital du Valais (HVS) - site de Martigny ;Ortho
QzBEdtlEIsfsg3pD6B1adFBmZSG2;Hôpital du Valais (HVS) - site de Sion;Tournus SC Méd-chir / Cardio 
djz1MyC7JsYen1wobYSUQC4aeF92;Hôpital Riviera-Chablais (HRC) - site de Rennaz;Méd
R5PCIOnQeUhRSyFRTI9fg0Wp8p23;Hôpital du Valais (HVS) - site de Martigny ;Ger
Z17WasZ4jjTqI5MnidpGgjIF0sX2;Hôpital du Valais (HVS) - site de St-Amé;Ger
8M3ZbwOu7tgpTAY5sfxeVKBoBUI3;Hôpital du Valais (HVS) - site de Martigny ;Méd
yn7VMvQNy8gz9G2SrHjsYIuCfxA2;Luzerner Hohenklinik Montana;Ortho / Méd
M8ySAiobcuStMPVUKB1SUjfZO2D2;Luzerner Hohenklinik Montana;Ortho / Méd
yWShM6jbuNcck2CfI0ihEtckesW2;Clinique romande de réadaptation (CRR) - SUVA ;Ortho
A5gF87EUo6NdCaKoemDLN5V4gkF2;Luzerner Hohenklinik Montana;Ortho / Méd
nqvttcCyf3SL6YT1DJJ8GGM3MKz2;Hôpital Riviera-Chablais (HRC) -Clinique CGR du Chablais;Ger
atQ2mk9k2lUYzt9nrJgwsjyzz702;Clinique romande de réadaptation (CRR) - SUVA ;Para / Tétra
R0lJR6Su1wcDPzzzbrkcObRyjTO2;Medsport - site de Sion;Ambu
h21ZyIpknGUksWjxUDLo2Mthwy92;Spital Zentrum Oberwallis (SZO) - site de Brig;Ortho
KplEdkaz5na6IzzQUFxy8ldozMA2;Hôpital du Valais (HVS) - site de Sierre;Ortho
NKzeoLK9hlSWLKHy858f84dZ7jz1;Berner Klinik Montana;Ortho / Méd
i3VYPIfwLqTWfAL1E5HeHRRM5TE3;Leukerbad Clinic;Ortho
bTZVtsHKMuUL7MH05G4HxVdGvxt2;Phoenix Physio ;Ambu
v0Bv2oLhCkhDJvVvXktZsmnj16U2;Hôpital du Valais (HVS) - site de Sion;Tournus SC Méd-chir / Cardio 
zss86bdGCVgvYgWzkc8dK7qLNi92;Hôpital Riviera-Chablais (HRC) -Clinique CGR du Chablais;Ger
;;
